section,DataSetId,JourmPatternSections_From_id,JourmPatternSections_From_StopPointRef_id,JourmPatternSections_From_StopPointRef_SequenceNumber,JourmPatternSections_From_StopPointRef,JourmPatternSections_From_TimingStatus_id,JourmPatternSections_From_TimingStatus_SequenceNumber,JourmPatternSections_From_TimingStatus,JourmPatternSections_To_id,JourmPatternSections_To_StopPointRef_id,JourmPatternSections_To_StopPointRef_SequenceNumber,JourmPatternSections_To_StopPointRef,JourmPatternSections_To_TimingStatus_id,JourmPatternSections_To_TimingStatus_SequenceNumber,JourmPatternSections_To_TimingStatus,JourmPatternSections_RouteLinkRef_id,JourmPatternSections_RouteLinkRef,JourmPatternSections_RunTime_id,JourmPatternSections_RunTime
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL36,JPSU71,37,2747,JPSU71,37,PTP,JPTL36,JPSU72,38,3262,JPSU72,38,OTH,JPTL36,RL36,JPTL36,PT0S
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL37,JPSU73,38,3262,JPSU73,38,OTH,JPTL37,JPSU74,39,2686,JPSU74,39,OTH,JPTL37,RL37,JPTL37,PT1M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL38,JPSU75,39,2686,JPSU75,39,OTH,JPTL38,JPSU76,40,3946,JPSU76,40,OTH,JPTL38,RL38,JPTL38,PT0S
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL39,JPSU77,40,3946,JPSU77,40,OTH,JPTL39,JPSU78,41,2685,JPSU78,41,OTH,JPTL39,RL39,JPTL39,PT1M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL40,JPSU79,41,2685,JPSU79,41,OTH,JPTL40,JPSU80,42,2679,JPSU80,42,OTH,JPTL40,RL40,JPTL40,PT1M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL41,JPSU81,42,2679,JPSU81,42,OTH,JPTL41,JPSU82,43,2578,JPSU82,43,OTH,JPTL41,RL41,JPTL41,PT1M
JPS1,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL42,JPSU83,43,2578,JPSU83,43,OTH,JPTL42,JPSU84,44,2682,JPSU84,44,PTP,JPTL42,RL42,JPTL42,PT2M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL43,JPSU85,1,2465,JPSU85,1,PTP,JPTL43,JPSU86,2,4525,JPSU86,2,PTP,JPTL43,RL1,JPTL43,PT0S
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL44,JPSU87,2,4525,JPSU87,2,PTP,JPTL44,JPSU88,4,4278,JPSU88,4,OTH,JPTL44,RL2,JPTL44,PT2M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL45,JPSU89,4,4278,JPSU89,4,OTH,JPTL45,JPSU90,5,3872,JPSU90,5,OTH,JPTL45,RL3,JPTL45,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL46,JPSU91,5,3872,JPSU91,5,OTH,JPTL46,JPSU92,6,2846,JPSU92,6,PTP,JPTL46,RL4,JPTL46,PT1M
JPS2,65ae28f2-4e37-470c-86f0-a279be0bec6c,JPTL47,JPSU93,6,2846,JPSU93,6,PTP,JPTL47,JPSU94,7,2365,JPSU94,7,OTH,JPTL47,RL5,JPTL47,PT0S
